title,current price,original price,rating,reviews,off percentage
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3118AX, Backlit, DTS Audio, Gaming Laptop       ","79,990.",95746.0,3.8 out of 5 stars,232 ratings,-16%
"        Lenovo LOQ, Intel Core i5 13th Gen 13450HX, NVIDIA RTX 4050 6GB, 16GB RAM, 512GB SSD, 15.6""(39.6cm), Windows 11, Office Home 2024, Grey, 2.4Kg, 83DV00X4IN, 100% sRGB, 3 Mon. Game Pass Gaming Laptop       ","86,440.",126990.0,4.5 out of 5 stars,22 ratings,-32%
"        HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35.6 cm, Touchscreen 2-in-1, Win 11, Office 21, Silver, 1.51 kg, ek1010TU/1149tu, FPR, 5MP Camera, B&O, Backlit Laptop       ","68,990.",99019.0,3.7 out of 5 stars,253 ratings,-30%
"        ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS       ","84,990.",113990.0,4.3 out of 5 stars,29 ratings,-25%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black       ","1,59,990.",169900.0,4.5 out of 5 stars,28 ratings,-6%
"        HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz,300 nits,IPS, 15.6''/39.6cm, FHD, Win11, Office24, Mica Silver, 2,29kg, Backlit Kb,HD Camera,fa2701TX       ","72,480.",96990.0,5.0 out of 5 stars,1 rating,-25%
"        Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey       ","1,67,990.",174900.0,5.0 out of 5 stars,1 rating,-4%
"        ASUS Gaming V16 (2025) 14th Gen,Intel Core 5 210H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024,Matte Black,1.95 Kg),V3607VU-RP550WS       ","75,890.",107990.0,4.3 out of 5 stars,29 ratings,-30%
"        Acer ALG, Intel Core i7-13th Gen 13620H Processor, NVIDIA GeForce RTX 3050 6GB(16GB/1TB) FHD, 15.6""/39.62 cm, 144Hz, Win 11 Home, Steel Gray, 1.99kg, AL15G-53, Backlit Keyboard, Gaming Laptop       ","77,500.",89500.0,3.5 out of 5 stars,81 ratings,-13%
"        ASUS Gaming V16 (2025) 14th Gen,Intel Core 5 210H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024,Matte Black,1.95 Kg),V3607VU-RP550WS       ","75,890.",107990.0,4.3 out of 5 stars,29 ratings,-30%
"        Acer NITRO V 15, AMD Ryzen 7-7445HS octa-core processor, NVIDIA GeForce RTX 4050- 6 GB GDDR6(16GB DDR5, 512GB)IPS FHD, 15.6""/ 39.62cm, 165Hz, Win 11 Home, Obsidian black, 2.1KG, ANV15-42 Gaming Laptop       ","71,990.",108299.0,3.7 out of 5 stars,170 ratings,-34%
"        HP Victus, AMD Ryzen 9-8945HS, 8GB RTX 4060, 16GB RAM (Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win11, M365* Office 24, Blue, 2.29Kg, Backlit, fb3025AX, AI Gaming Laptop       ","98,990.",126579.0,3.8 out of 5 stars,232 ratings,-22%
"        acer Professional 14[New Launch], 13th Gen Intel Core i7-1355U Turbo Boost, 32GB DDR4, 1TB SSD, Win11 Pro, MSO21, 14inch FHD Laptop, 3 Year Warranty, Metal ID, Fingerprint, Backlit KB, Silver, 1.34kg       ","64,880.",90000.0,4.0 out of 5 stars,25 ratings,-28%
"        Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black       ","2,01,990.",209900.0,3.4 out of 5 stars,8 ratings,-4%
"        Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 24GB Unified Memory, 512GB) - Space Gray       ","1,24,990.",154900.0,4.1 out of 5 stars,6 ratings,-19%
"        Lenovo Smartchoice Yoga Slim 7 Intel Core Ultra 5 125H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (16GB/512GB SSD/60Hz/100% DCI-P3/Win11/MSO 21/1Yr ADP Free/Alexa/Grey/1.39Kg), 83CV003MIN       ","74,990.",125890.0,4.0 out of 5 stars,98 ratings,-40%
