title,current price,original price,rating,reviews,off percentage
"MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop  (14 Inch, PANTONE Bronze Green, 1.4 Kg, With MS Office)",49999.0,93690.0,4.4,"1,365 Ratings",46% off
"MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop  (14 Inch, PANTONE Wedgewood, 1.4 Kg, With MS Office)",49999.0,93690.0,4.4,"1,365 Ratings",46% off
"Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Thin and Light Laptop  (15.6 inch, Gray, 1.55 Kg, With MS Office)",77990.0,99990.0,4.5,261 Ratings,22% off
"ASUS Vivobook 16X For Creator, Intel H Series Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz/50 TGP) K3605VC-RP413WS | K3605ZC-MBN542WS Gaming Laptop  (16 Inch, Silver, 1.80 Kg, With MS Office)",64990.0,98990.0,4.2,984 Ratings,34% off
"Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home) Slim 5 Thin and Light Laptop  (14 inch, Luna Grey, 1.39 Kg, With MS Office)",64990.0,97290.0,4.7,20 Ratings,33% off
"Acer Nitro V 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) ANV15-52 Gaming Laptop  (15.6 inch, Obsidian Black, 2.113 Kg)",79990.0,114999.0,4.2,116 Ratings,30% off
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) S3407VA-LY039WS Thin and Light Laptop  (14 inch, Cool Silver, 1.39 Kg, With MS Office)",66990.0,98990.0,4.5,100 Ratings,32% off
"HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/144 Hz) 15-fa2381TX / 15-fa2701TX / 15-fa1278TX Gaming Laptop  (15.6 inch, Mica Silver, 2.29 Kg, With MS Office)",79900.0,93322.0,4.2,706 Ratings,14% off
"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",49990.0,82789.0,4.4,"13,434 Ratings",39% off
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) S3407VA-LY040WS Thin and Light Laptop  (14 inch, Matte Gray, 1.39 Kg, With MS Office)",66990.0,98990.0,4.5,100 Ratings,32% off
"ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) K3605VC-RP413WS Gaming Laptop  (16 Inch, Cool Silver, 1.8 Kg, With MS Office)",59990.0,89990.0,4.2,984 Ratings,33% off
"Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/80 W) GL613 Gaming Laptop  (16 inch, Grey, 1.99 kg)",53990.0,99990.0,4.3,695 Ratings,46% off
"Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A) LOQ 15ARP9D2 Gaming Laptop  (15.6 inch, Luna Grey, 2.38 kg, With MS Office)",68990.0,93190.0,4.5,80 Ratings,25% off
"Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN / NP750XGJ-LG3IN / NP750XGJ-LG8IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",61990.0,89689.0,4.4,"4,286 Ratings",30% off
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5-13420H WUXGA IPS Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82XD003MIN Thin and Light Laptop  (14 inch, Cloud Grey, With MS Office)",66190.0,73999.0,4.1,160 Ratings,10% off
"HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) 15-fa2700TX Gaming Laptop  (15.6 inch, Mica Silver, 2.29 Kg, With MS Office)",69990.0,87262.0,4.2,514 Ratings,19% off
"Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home) ZL513 Thin and Light Laptop  (15.6 inch, Silver, 1.80 Kg, With MS Office)",49999.0,149900.0,4,"1,396 Ratings",66% off
"Acer Aspire 7 Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) A715-79G Gaming Laptop  (15.6 Inch, Obsidian Black, 1.99 Kg)",66990.0,84999.0,4.3,9 Ratings,21% off
"MSI Commercial 14 H Pro Intel Core i7 13th Gen 13700H - (32 GB/1 TB SSD/Windows 11 Pro) Commercial 14 H A13MG vPro-065IN Business Laptop  (14 Inch, Solid Gray, 1.6 Kg)",69999.0,123990.0,4.5,12 Ratings,43% off
"ASUS Zenbook A14 OLED (2025), MSO 2024 + M365 Basic, Metal Body, Backlit Keyboard, Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) UX3407QA-QD259WS Thin and Light Laptop  (14 Inch, Iceland Gray, 0.98 Kg, With MS Office)",76990.0,122990.0,3.9,12 Ratings,37% off
